student_id,exercise_is_correct_ratio,exercise_completion_velocity,practice_problems_solved,quiz_score,avg_exercise_attempts,avg_exercise_execution_time_ms,predicted_pass_probability,risk_level
1,0.59,382.3,54,13.0,9.4,5330,0.764,LOW
2,0.27,364.6,87,95.4,9.0,4963,0.814,LOW
3,0.48,315.4,48,34.7,4.4,9180,0.658,MEDIUM
4,0.43,192.0,65,56.6,7.0,995,0.616,MEDIUM
5,0.74,157.5,53,20.9,8.6,5240,0.718,LOW
6,0.29,560.6,83,50.9,5.9,873,0.922,LOW
7,0.44,296.3,42,35.6,2.4,2467,0.66,MEDIUM
8,0.6,391.8,92,75.5,8.1,5220,0.976,LOW
9,0.26,147.6,69,92.0,3.5,7310,0.484,MEDIUM
10,0.59,207.0,52,10.3,5.9,8420,0.561,MEDIUM
11,0.46,161.7,55,41.8,5.7,1636,0.521,MEDIUM
12,0.29,329.9,86,27.2,4.9,2251,0.66,MEDIUM
13,0.34,78.2,25,43.4,8.0,6767,0.074,HIGH
14,0.56,438.5,76,18.4,6.5,6729,0.915,LOW
15,0.11,442.5,64,2.0,6.2,6919,0.239,HIGH
16,0.72,517.3,27,34.1,5.7,4875,0.949,LOW
17,0.24,385.2,91,30.3,7.1,4141,0.639,MEDIUM
18,0.64,202.7,76,84.8,6.8,3482,0.934,LOW
19,0.63,77.7,30,84.1,9.3,1152,0.577,MEDIUM
20,0.54,197.1,46,63.1,5.4,6202,0.681,MEDIUM
21,0.92,4.7,48,98.6,5.3,7353,0.001,HIGH
22,0.08,131.0,99,74.0,8.3,5052,0.226,HIGH
23,0.62,427.8,56,15.8,5.6,2624,0.909,LOW
24,0.38,200.7,14,27.7,1.1,9716,0.189,HIGH
25,0.2,267.2,29,63.1,3.1,9956,0.205,HIGH
26,0.92,1.9,34,96.3,7.4,8987,0.0,HIGH
27,0.36,373.1,4,80.6,9.2,5032,0.379,HIGH
28,0.4,501.3,86,97.5,1.5,7938,0.979,LOW
29,0.75,378.0,31,62.8,3.5,3860,0.959,LOW
30,0.69,46.0,29,29.5,2.2,9359,0.479,MEDIUM
31,0.52,55.2,50,15.3,1.6,1145,0.411,MEDIUM
32,0.18,485.4,6,36.4,7.8,9036,0.151,HIGH
33,0.35,78.2,51,49.5,2.8,8403,0.246,HIGH
34,0.54,103.1,98,1.5,4.9,2263,0.684,MEDIUM
35,0.5,626.6,67,18.6,6.5,964,0.958,LOW
36,0.25,397.9,40,29.5,7.2,6552,0.306,HIGH
37,0.22,351.7,22,47.7,5.3,9052,0.203,HIGH
38,0.87,3.1,29,95.1,7.1,3267,0.0,HIGH
39,0.4,294.6,21,46.8,7.6,835,0.372,HIGH
40,0.88,159.4,10,36.3,5.5,6683,0.774,LOW
41,0.21,345.7,31,27.6,10.0,2614,0.14,HIGH
42,0.39,557.5,99,35.2,3.2,5441,0.967,LOW
43,0.86,445.5,34,5.6,4.4,8657,0.956,LOW
44,0.72,558.6,39,53.7,4.6,4414,0.983,LOW
45,0.6,546.9,37,54.9,2.7,1349,0.97,LOW
46,0.71,125.4,5,41.9,7.9,8596,0.384,HIGH
47,0.77,210.7,0,55.6,3.2,894,0.805,LOW
48,0.95,625.7,78,59.7,8.8,6151,0.999,LOW
49,0.48,170.2,85,52.0,9.2,9855,0.622,MEDIUM
50,0.26,436.6,11,40.9,6.1,556,0.316,HIGH
51,0.9,144.3,87,78.0,8.5,918,0.984,LOW
52,0.77,449.8,96,11.9,6.3,9232,0.984,LOW
53,0.94,91.6,67,59.5,6.7,3089,0.962,LOW
54,0.1,172.5,70,11.5,2.7,1912,0.121,HIGH
55,0.95,360.5,83,31.0,9.6,935,0.991,LOW
56,0.63,405.6,71,29.8,3.7,3925,0.955,LOW
57,0.23,59.3,68,49.5,2.8,5094,0.195,HIGH
58,0.17,349.5,9,34.5,6.5,1824,0.105,HIGH
59,0.88,1.2,30,99.9,9.2,1083,0.0,HIGH
60,0.57,469.6,13,13.3,5.4,5172,0.708,LOW
61,0.72,195.5,85,12.3,1.9,4001,0.932,LOW
62,0.91,2.9,21,94.8,7.8,9308,0.0,HIGH
63,0.07,577.8,61,67.8,4.3,1096,0.731,LOW
64,0.03,626.8,19,35.1,2.8,5981,0.314,HIGH
65,0.16,580.6,31,59.6,8.7,3343,0.508,MEDIUM
66,0.67,363.0,31,94.0,7.0,3097,0.941,LOW
67,0.57,83.1,98,7.7,2.5,5983,0.74,LOW
68,0.8,64.2,19,54.5,6.1,6595,0.639,MEDIUM
69,0.61,30.1,62,44.8,7.5,5244,0.527,MEDIUM
70,0.2,430.4,1,66.7,5.5,8006,0.224,HIGH
71,0.4,114.2,32,7.2,5.6,4616,0.116,HIGH
72,0.01,535.0,83,26.6,1.3,5792,0.576,MEDIUM
73,0.07,495.9,15,71.7,9.7,6668,0.168,HIGH
74,0.03,596.5,2,34.8,2.3,2499,0.22,HIGH
75,0.88,2.1,12,91.1,7.9,4693,0.0,HIGH
76,0.19,385.0,0,2.3,6.8,9535,0.048,HIGH
77,0.55,137.5,6,58.3,1.3,2081,0.472,MEDIUM
78,0.62,170.2,8,66.5,9.7,4901,0.423,MEDIUM
79,0.09,275.6,87,82.2,9.8,4384,0.354,HIGH
80,0.84,364.3,15,48.0,4.6,1421,0.951,LOW
81,0.86,391.2,63,37.7,9.3,5294,0.976,LOW
82,0.95,30.0,23,79.0,4.9,3574,0.898,LOW
83,0.26,255.2,44,4.9,6.5,5317,0.135,HIGH
84,0.31,61.4,82,16.5,9.6,6445,0.131,HIGH
85,0.36,286.0,23,33.4,6.5,6013,0.247,HIGH
86,0.73,177.4,13,44.9,1.8,1529,0.78,LOW
87,0.2,604.1,93,65.4,3.4,6450,0.939,LOW
88,0.94,311.1,13,90.8,1.3,3404,0.986,LOW
89,0.12,143.3,72,54.6,3.2,8828,0.17,HIGH
90,0.74,595.5,89,95.2,4.9,2759,0.999,LOW
91,0.89,5.0,10,99.7,3.8,2478,0.0,HIGH
92,0.22,324.0,89,98.4,5.6,6344,0.78,LOW
93,0.98,3.5,26,93.1,7.6,1998,0.001,HIGH
94,0.82,328.0,44,78.3,2.3,8607,0.979,LOW
95,0.08,579.8,36,95.7,3.3,1464,0.712,LOW
96,0.71,237.3,8,65.2,8.1,9902,0.652,MEDIUM
97,0.88,2.8,15,92.5,9.2,3500,0.0,HIGH
98,0.66,513.2,18,8.6,3.8,5433,0.882,LOW
99,0.46,243.3,63,88.1,6.9,9012,0.763,LOW
100,0.32,456.1,34,59.3,8.4,2383,0.61,MEDIUM
101,0.38,116.8,77,15.4,6.7,3755,0.309,HIGH
102,0.03,279.0,80,50.0,5.0,781,0.265,HIGH
